stock_name,date,open,high,low,close,volume
AMZN,2016-09-16,773,780,772,779,5499182
AMZN,2016-09-19,780,782,771,775,2297221
AMZN,2016-09-20,776,781,776,780,1937164
AMZN,2016-09-21,783,791,779,790,2718644
AMZN,2016-09-22,794,806,794,805,4078910
AMZN,2016-09-23,803,808,802,806,2353511
AMZN,2016-09-26,802,806,797,799,2651397
AMZN,2016-09-27,802,817,801,816,3819600
AMZN,2016-09-28,818,830,817,829,4422078
AMZN,2016-09-29,828,838,825,829,4922248
AMZN,2016-09-30,833,840,832,837,4430566
AMZN,2016-10-03,836,840,831,837,2769448
AMZN,2016-10-04,841,842,830,834,2950314
AMZN,2016-10-05,838,846,836,844,3469055
AMZN,2016-10-06,844,847,841,842,2684013
AMZN,2016-10-07,846,846,837,839,2426228
AMZN,2016-10-10,843,845,840,842,1827143
AMZN,2016-10-11,841,841,828,831,3588180
AMZN,2016-10-12,834,838,830,834,2380416
AMZN,2016-10-13,829,832,821,829,3091387
AMZN,2016-10-14,835,836,823,823,2999814
AMZN,2016-10-17,822,822,812,813,3361492
AMZN,2016-10-18,822,823,815,818,2512504
AMZN,2016-10-19,820,821,815,818,2090706
AMZN,2016-10-20,814,816,803,810,3151954
AMZN,2016-10-21,809,819,809,819,2793015
AMZN,2016-10-24,825,838,822,838,4060899
AMZN,2016-10-25,839,843,833,835,3248358
AMZN,2016-10-26,833,833,820,823,3998102
AMZN,2016-10-27,831,832,815,818,7406385
AMZN,2016-10-28,782,789,775,776,10841073
AMZN,2016-10-31,781,794,780,790,5413326
AMZN,2016-11-01,799,801,777,785,5305428
AMZN,2016-11-02,784,785,764,766,5026504
AMZN,2016-11-03,765,777,764,767,3872496
AMZN,2016-11-04,763,766,753,755,5122103
AMZN,2016-11-07,772,788,771,785,5984354
AMZN,2016-11-08,785,792,779,788,3412629
AMZN,2016-11-09,764,778,760,772,8562892
AMZN,2016-11-10,779,779,718,742,12746994
AMZN,2016-11-11,736,743,729,739,6622784
AMZN,2016-11-14,746,746,710,719,7321344
AMZN,2016-11-15,730,747,726,743,6755785
AMZN,2016-11-16,740,750,736,746,3648791
AMZN,2016-11-17,749,758,748,756,3690112
AMZN,2016-11-18,761,768,758,760,4373408
AMZN,2016-11-21,766,780,765,780,4614574
AMZN,2016-11-22,788,792,781,785,5311320
AMZN,2016-11-23,782,782,773,780,3540263
AMZN,2016-11-25,787,787,778,780,1837068
AMZN,2016-11-28,777,777,764,767,4438828
AMZN,2016-11-29,768,770,761,763,3272344
AMZN,2016-11-30,762,768,750,751,4625946
AMZN,2016-12-01,752,753,738,744,4665993
AMZN,2016-12-02,743,748,737,740,3561307
AMZN,2016-12-05,745,761,742,759,4314723
AMZN,2016-12-06,764,768,757,765,3794746
AMZN,2016-12-07,765,770,756,770,3684906
AMZN,2016-12-08,772,774,765,767,3189608
AMZN,2016-12-09,770,770,765,769,2470923
AMZN,2016-12-12,766,767,757,760,2963945
AMZN,2016-12-13,765,782,762,774,5285288
AMZN,2016-12-14,778,781,763,769,5454836
AMZN,2016-12-15,766,769,760,761,3801927
AMZN,2016-12-16,765,765,754,758,4848219
AMZN,2016-12-19,759,771,756,766,3113240
AMZN,2016-12-20,769,774,768,771,2703629
AMZN,2016-12-21,770,771,766,771,2044629
AMZN,2016-12-22,768,771,763,766,2543551
AMZN,2016-12-23,765,767,758,761,1981616
AMZN,2016-12-27,763,775,761,771,2638725
AMZN,2016-12-28,776,780,771,772,3301025
AMZN,2016-12-29,772,773,761,765,3158299
AMZN,2016-12-30,766,767,748,750,4139449
AMZN,2017-01-03,758,759,748,754,3521066
AMZN,2017-01-04,758,760,754,757,2510526
AMZN,2017-01-05,762,782,760,780,5830068
AMZN,2017-01-06,782,799,778,796,5986234
AMZN,2017-01-09,798,802,792,797,3446109
AMZN,2017-01-10,797,798,790,796,2558369
AMZN,2017-01-11,794,800,790,799,2992791
AMZN,2017-01-12,800,814,800,814,4873922
AMZN,2017-01-13,814,822,811,817,3791945
AMZN,2017-01-17,816,816,803,810,3670529
AMZN,2017-01-18,810,812,804,807,2354201
AMZN,2017-01-19,810,814,807,809,2540784
AMZN,2017-01-20,815,816,806,808,3376196
AMZN,2017-01-23,807,819,805,818,2797474
AMZN,2017-01-24,822,824,815,822,2971740
AMZN,2017-01-25,826,837,825,837,4023078
AMZN,2017-01-26,836,844,833,839,3586323
AMZN,2017-01-27,839,840,829,836,2998700
AMZN,2017-01-30,833,834,816,830,3747336
AMZN,2017-01-31,824,827,820,823,3137196
AMZN,2017-02-01,829,834,825,832,3850181
AMZN,2017-02-02,837,842,828,840,7350492
AMZN,2017-02-03,807,818,804,810,10868773
AMZN,2017-02-06,810,811,803,808,3897301
AMZN,2017-02-07,809,816,808,813,3466091
AMZN,2017-02-08,813,821,813,820,2857985
AMZN,2017-02-09,822,825,820,821,2484948
AMZN,2017-02-10,824,828,823,827,2429609
AMZN,2017-02-13,832,843,829,837,4172618
AMZN,2017-02-14,837,838,831,836,2792442
AMZN,2017-02-15,834,843,833,843,2968853
AMZN,2017-02-16,842,845,839,844,2714667
AMZN,2017-02-17,842,847,841,845,3112275
AMZN,2017-02-21,849,858,847,856,3507742
AMZN,2017-02-22,857,858,852,856,2616971
AMZN,2017-02-23,858,861,848,852,3461984
AMZN,2017-02-24,845,846,838,845,3687963
AMZN,2017-02-27,842,853,840,849,2713627
AMZN,2017-02-28,851,854,842,845,2793709
AMZN,2017-03-01,853,855,849,853,2760083
AMZN,2017-03-02,853,855,847,849,2132098
AMZN,2017-03-03,847,852,846,850,1951575
AMZN,2017-03-06,845,848,841,847,2610370
AMZN,2017-03-07,845,848,844,846,2247554
AMZN,2017-03-08,848,853,847,851,2288317
AMZN,2017-03-09,851,856,850,853,2048187
AMZN,2017-03-10,857,857,852,852,2436434
AMZN,2017-03-13,852,856,852,855,1909672
AMZN,2017-03-14,854,854,848,853,2130586
AMZN,2017-03-15,854,854,847,853,2562176
AMZN,2017-03-16,855,856,851,853,1842296
AMZN,2017-03-17,853,854,851,852,3384403
AMZN,2017-03-20,852,858,851,857,2282727
AMZN,2017-03-21,859,863,841,843,4382852
AMZN,2017-03-22,840,849,839,848,2658669
AMZN,2017-03-23,848,851,845,847,1952964
AMZN,2017-03-24,852,852,844,846,2138269
AMZN,2017-03-27,838,850,834,847,2755775
AMZN,2017-03-28,852,858,850,856,3041633
AMZN,2017-03-29,859,876,859,874,4485770
AMZN,2017-03-30,875,877,872,876,2762730
AMZN,2017-03-31,877,890,877,887,3957612
AMZN,2017-04-03,888,893,885,892,3422328
AMZN,2017-04-04,892,909,890,907,4984656
AMZN,2017-04-05,911,924,906,909,7508370
AMZN,2017-04-06,914,917,894,898,6344065
AMZN,2017-04-07,900,900,889,895,3707367
AMZN,2017-04-10,900,909,899,907,3184301
AMZN,2017-04-11,907,911,898,902,3012743
AMZN,2017-04-12,903,904,895,896,2456140
AMZN,2017-04-13,891,895,884,885,3174583
AMZN,2017-04-17,888,902,888,902,2854673
AMZN,2017-04-18,901,910,901,904,2999238
AMZN,2017-04-19,908,911,897,899,2870242
AMZN,2017-04-20,900,905,896,902,2814441
AMZN,2017-04-21,903,904,897,899,2420494
AMZN,2017-04-24,909,910,904,907,3118123
AMZN,2017-04-25,907,909,903,908,3367734
AMZN,2017-04-26,910,916,908,909,2562595
AMZN,2017-04-27,914,922,912,918,4255693
AMZN,2017-04-28,949,950,924,925,7278819
AMZN,2017-05-01,928,954,928,948,5415793
AMZN,2017-05-02,947,950,941,947,3800912
AMZN,2017-05-03,946,946,936,941,3544234
AMZN,2017-05-04,945,945,934,938,2380874
AMZN,2017-05-05,941,941,930,934,2856585
AMZN,2017-05-08,941,949,939,949,3370672
