stock_name,date,open,high,low,close,volume
GOOG,2016-09-16,770,770,765,769,2049338
GOOG,2016-09-19,772,774,764,766,1172824
GOOG,2016-09-20,769,773,769,771,978631
GOOG,2016-09-21,773,777,768,776,1167810
GOOG,2016-09-22,780,790,778,787,1486223
GOOG,2016-09-23,787,789,784,787,1411937
GOOG,2016-09-26,783,783,773,774,1533206
GOOG,2016-09-27,776,786,774,783,1153247
GOOG,2016-09-28,778,782,775,782,1109834
GOOG,2016-09-29,781,786,774,775,1314746
GOOG,2016-09-30,776,781,774,777,1585333
GOOG,2016-10-03,774,776,770,773,1278821
GOOG,2016-10-04,776,779,773,776,1201350
GOOG,2016-10-05,779,782,776,776,1461151
GOOG,2016-10-06,779,780,776,777,1070692
GOOG,2016-10-07,780,780,771,775,933158
GOOG,2016-10-10,778,789,776,786,1174923
GOOG,2016-10-11,787,792,781,783,1372461
GOOG,2016-10-12,784,788,782,786,937435
GOOG,2016-10-13,781,781,773,778,1365277
GOOG,2016-10-14,782,784,776,779,852487
GOOG,2016-10-17,780,786,778,780,1092973
GOOG,2016-10-18,788,802,786,795,2056903
GOOG,2016-10-19,799,805,798,802,1766798
GOOG,2016-10-20,803,804,796,797,1757528
GOOG,2016-10-21,795,800,794,799,1266181
GOOG,2016-10-24,805,815,805,813,1697514
GOOG,2016-10-25,817,817,805,808,1576404
GOOG,2016-10-26,806,807,796,799,1647733
GOOG,2016-10-27,801,803,792,795,2749221
GOOG,2016-10-28,808,815,794,795,4269902
GOOG,2016-10-31,795,797,784,785,2427284
GOOG,2016-11-01,783,789,776,784,2406356
GOOG,2016-11-02,778,782,763,769,1918414
GOOG,2016-11-03,767,770,759,762,1943175
GOOG,2016-11-04,751,770,751,762,2134812
GOOG,2016-11-07,775,785,773,783,1585070
GOOG,2016-11-08,783,796,780,791,1366873
GOOG,2016-11-09,780,791,772,785,2607121
GOOG,2016-11-10,791,791,752,763,4745183
GOOG,2016-11-11,757,761,750,754,2431815
GOOG,2016-11-14,756,758,728,736,3654385
GOOG,2016-11-15,747,764,747,758,2384001
GOOG,2016-11-16,755,766,751,764,1472594
GOOG,2016-11-17,767,773,764,771,1304048
GOOG,2016-11-18,771,775,760,761,1547145
GOOG,2016-11-21,763,770,761,769,1330639
GOOG,2016-11-22,773,777,767,768,1593108
GOOG,2016-11-23,768,768,755,761,1478417
GOOG,2016-11-25,764,765,761,762,587421
GOOG,2016-11-28,760,780,760,768,2188151
GOOG,2016-11-29,772,779,768,771,1616618
GOOG,2016-11-30,770,773,755,758,2392890
GOOG,2016-12-01,757,760,737,748,3017947
GOOG,2016-12-02,745,754,743,751,1452484
GOOG,2016-12-05,758,764,753,763,1394223
GOOG,2016-12-06,765,769,757,759,1690689
GOOG,2016-12-07,761,771,756,771,1760966
GOOG,2016-12-08,772,778,767,776,1488059
GOOG,2016-12-09,780,789,779,789,1821914
GOOG,2016-12-12,785,791,784,789,2104117
GOOG,2016-12-13,794,804,793,796,2145209
GOOG,2016-12-14,797,804,794,797,1704150
GOOG,2016-12-15,797,803,793,798,1626499
GOOG,2016-12-16,800,801,790,791,2443796
GOOG,2016-12-19,790,798,786,794,1232087
GOOG,2016-12-20,797,799,793,796,951014
GOOG,2016-12-21,796,797,787,795,1211346
GOOG,2016-12-22,792,793,789,791,972169
