stock_name,date,open,high,low,close,volume
GS,2016-09-16,168,168,166,166,4534927
GS,2016-09-19,167,168,166,166,2030742
GS,2016-09-20,168,168,166,166,1533159
GS,2016-09-21,167,168,166,167,2333687
GS,2016-09-22,168,169,168,168,2467664
GS,2016-09-23,168,168,165,165,3420548
GS,2016-09-26,164,164,161,161,2772196
GS,2016-09-27,161,163,160,163,2602686
GS,2016-09-28,163,164,162,163,1677707
GS,2016-09-29,163,164,158,159,3731700
GS,2016-09-30,160,162,158,161,4497177
GS,2016-10-03,161,162,160,161,2444718
GS,2016-10-04,161,164,161,162,2469912
GS,2016-10-05,163,167,163,166,2548215
GS,2016-10-06,167,167,165,167,2858217
GS,2016-10-07,168,170,166,170,3390232
GS,2016-10-10,171,172,170,171,2532001
GS,2016-10-11,170,171,168,169,2679937
GS,2016-10-12,169,170,168,169,2404792
GS,2016-10-13,168,168,166,167,2713705
GS,2016-10-14,172,173,169,171,5282125
GS,2016-10-17,171,171,168,169,3061380
GS,2016-10-18,172,173,171,173,4482486
GS,2016-10-19,173,176,173,175,3676036
GS,2016-10-20,174,176,174,175,2471135
GS,2016-10-21,173,175,173,175,2004351
GS,2016-10-24,176,176,174,175,1943125
GS,2016-10-25,175,176,175,176,2423299
GS,2016-10-26,175,178,174,177,2533595
GS,2016-10-27,178,179,177,178,3021949
GS,2016-10-28,179,179,175,177,2042775
GS,2016-10-31,178,179,177,178,1828018
GS,2016-11-01,179,179,177,178,2900633
GS,2016-11-02,177,178,176,177,2104595
GS,2016-11-03,177,178,176,176,1972746
GS,2016-11-04,176,177,175,176,1846443
GS,2016-11-07,179,182,179,181,3338783
GS,2016-11-08,180,183,178,182,2646006
GS,2016-11-09,185,194,183,193,7823835
GS,2016-11-10,195,205,194,201,11342524
GS,2016-11-11,198,205,198,204,6290179
GS,2016-11-14,204,212,204,209,8248097
GS,2016-11-15,207,211,205,211,4893793
GS,2016-11-16,207,208,205,206,5271402
GS,2016-11-17,206,210,206,210,3570582
GS,2016-11-18,210,212,210,210,4278161
GS,2016-11-21,211,212,209,211,2860229
GS,2016-11-22,211,212,210,211,2945634
GS,2016-11-23,212,213,209,212,3734285
GS,2016-11-25,211,213,211,211,1973959
GS,2016-11-28,210,212,210,210,3297394
GS,2016-11-29,210,213,210,212,2570247
GS,2016-11-30,215,221,215,219,6505900
GS,2016-12-01,221,227,220,227,7604642
GS,2016-12-02,226,226,221,223,5295835
GS,2016-12-05,226,229,225,229,4599300
GS,2016-12-06,230,233,228,231,5259347
GS,2016-12-07,230,236,230,236,6595232
GS,2016-12-08,237,242,236,241,7335475
GS,2016-12-09,241,242,239,242,5456047
GS,2016-12-12,241,243,236,237,5020914
GS,2016-12-13,239,240,236,239,4680464
GS,2016-12-14,236,243,235,240,6171829
GS,2016-12-15,242,246,242,243,4829694
GS,2016-12-16,243,243,238,239,6874967
GS,2016-12-19,238,240,236,239,3742800
GS,2016-12-20,241,244,240,243,4487687
GS,2016-12-21,242,242,240,241,3277294
GS,2016-12-22,241,243,240,240,2637214
GS,2016-12-23,240,242,239,241,2187413
GS,2016-12-27,242,243,240,242,1988884
GS,2016-12-28,244,245,240,241,3052787
GS,2016-12-29,241,241,237,238,2619021
GS,2016-12-30,239,241,237,239,2355444
GS,2017-01-03,243,245,238,242,4384246
GS,2017-01-04,241,243,240,243,2728709
GS,2017-01-05,243,243,237,241,3562065
GS,2017-01-06,242,246,241,245,3591079
GS,2017-01-09,243,245,241,243,3022091
GS,2017-01-10,241,243,239,243,3432904
GS,2017-01-11,243,246,242,246,3532563
GS,2017-01-12,245,245,242,244,4022228
GS,2017-01-13,245,248,243,244,4185828
GS,2017-01-17,243,243,236,236,6277192
GS,2017-01-18,236,238,232,234,7587514
GS,2017-01-19,234,235,231,231,4561821
GS,2017-01-20,232,233,231,232,5207057
GS,2017-01-23,232,234,231,233,3135704
GS,2017-01-24,232,236,231,234,4448152
GS,2017-01-25,236,237,234,237,3716771
GS,2017-01-26,237,241,237,240,4194469
GS,2017-01-27,237,238,236,237,3253002
GS,2017-01-30,236,236,232,234,3802918
GS,2017-01-31,233,234,228,229,5151196
GS,2017-02-01,231,233,230,231,4024127
GS,2017-02-02,229,232,227,230,2775736
GS,2017-02-03,235,241,234,241,7377056
GS,2017-02-06,240,244,239,240,4638555
GS,2017-02-07,241,241,239,240,2660079
GS,2017-02-08,238,239,236,238,2743424
GS,2017-02-09,239,243,237,242,3550836
GS,2017-02-10,243,244,241,243,3072771
GS,2017-02-13,244,247,244,246,2998225
GS,2017-02-14,246,250,246,249,4140625
GS,2017-02-15,251,252,249,251,4296636
GS,2017-02-16,250,251,248,249,2286305
GS,2017-02-17,248,251,247,250,3262324
GS,2017-02-21,251,253,251,252,2794893
GS,2017-02-22,250,252,250,252,2378769
GS,2017-02-23,251,252,249,251,2594747
GS,2017-02-24,248,249,246,247,3563887
GS,2017-02-27,247,250,247,249,2372858
GS,2017-02-28,248,249,246,248,3626634
GS,2017-03-01,254,255,251,253,5218289
GS,2017-03-02,254,254,251,251,3019247
GS,2017-03-03,252,255,252,253,3169639
GS,2017-03-06,252,253,251,252,2467023
GS,2017-03-07,252,253,250,251,2496095
GS,2017-03-08,254,255,250,250,3584206
GS,2017-03-09,251,253,250,250,3061457
GS,2017-03-10,252,252,247,248,3364803
GS,2017-03-13,249,249,247,248,1801062
GS,2017-03-14,247,248,245,248,2144231
GS,2017-03-15,248,250,246,247,3427047
GS,2017-03-16,248,250,247,248,2940620
GS,2017-03-17,250,250,244,244,5438111
