stock_name,date,open,high,low,close,volume
NVDA,2016-09-16,63,63,62,63,22561149
NVDA,2016-09-19,64,65,63,64,10428207
NVDA,2016-09-20,64,64,63,63,8277832
NVDA,2016-09-21,63,65,63,65,8405337
NVDA,2016-09-22,65,65,65,65,7718287
NVDA,2016-09-23,65,65,65,65,6903344
NVDA,2016-09-26,64,65,64,64,5751035
NVDA,2016-09-27,64,67,64,67,10068769
NVDA,2016-09-28,67,67,66,67,7994701
NVDA,2016-09-29,67,68,66,67,8417136
NVDA,2016-09-30,68,69,67,69,10748304
NVDA,2016-10-03,69,70,68,68,6064853
NVDA,2016-10-04,69,70,68,68,7040645
NVDA,2016-10-05,69,70,68,68,7636009
NVDA,2016-10-06,67,68,66,67,9005317
NVDA,2016-10-07,68,68,67,67,7156502
NVDA,2016-10-10,67,68,66,67,7196868
NVDA,2016-10-11,67,67,66,66,9713476
NVDA,2016-10-12,66,67,65,66,10498025
NVDA,2016-10-13,66,66,64,65,9752910
NVDA,2016-10-14,66,67,66,66,8265851
NVDA,2016-10-17,66,67,66,66,4883160
NVDA,2016-10-18,67,67,66,67,6734274
NVDA,2016-10-19,66,67,66,66,4976462
NVDA,2016-10-20,67,68,66,68,7802072
NVDA,2016-10-21,67,68,67,68,6987654
NVDA,2016-10-24,68,71,68,71,8495946
NVDA,2016-10-25,71,72,70,72,9936532
NVDA,2016-10-26,71,73,71,72,8344781
NVDA,2016-10-27,73,73,70,71,9716622
NVDA,2016-10-28,71,72,70,71,7271374
NVDA,2016-10-31,71,72,71,71,6309718
NVDA,2016-11-01,71,72,68,69,11830629
NVDA,2016-11-02,70,71,69,69,7396231
NVDA,2016-11-03,69,69,67,68,7741593
NVDA,2016-11-04,68,69,67,68,8219490
NVDA,2016-11-07,70,72,70,71,12189524
NVDA,2016-11-08,72,72,71,71,10747107
NVDA,2016-11-09,69,71,69,70,11413254
NVDA,2016-11-10,71,72,67,68,21732039
NVDA,2016-11-11,80,89,79,88,54383633
NVDA,2016-11-14,88,88,84,84,33719913
NVDA,2016-11-15,84,87,84,86,15652258
NVDA,2016-11-16,87,93,86,92,24699644
NVDA,2016-11-17,92,95,91,92,20824744
NVDA,2016-11-18,92,94,92,93,14401499
NVDA,2016-11-21,94,94,92,93,10910868
NVDA,2016-11-22,93,94,92,94,8259232
NVDA,2016-11-23,94,95,93,94,11080857
NVDA,2016-11-25,94,95,93,94,4889078
NVDA,2016-11-28,94,95,94,94,6968370
NVDA,2016-11-29,94,94,93,93,11114187
NVDA,2016-11-30,94,94,92,92,11012545
NVDA,2016-12-01,92,92,85,88,25888074
NVDA,2016-12-02,86,89,85,88,11957300
NVDA,2016-12-05,90,93,89,92,15057125
NVDA,2016-12-06,92,94,92,93,12469875
NVDA,2016-12-07,93,95,92,95,12020093
NVDA,2016-12-08,95,97,93,93,9538602
NVDA,2016-12-09,94,94,91,92,9557799
NVDA,2016-12-12,90,90,88,90,15033300
NVDA,2016-12-13,90,92,90,91,9694874
NVDA,2016-12-14,93,97,92,96,24599538
NVDA,2016-12-15,97,100,97,99,18663653
NVDA,2016-12-16,100,101,98,100,27238183
NVDA,2016-12-19,100,102,99,102,18616431
NVDA,2016-12-20,105,106,104,105,21201433
NVDA,2016-12-21,106,106,104,106,14403361
NVDA,2016-12-22,107,109,107,107,17965259
NVDA,2016-12-23,106,110,106,110,16192331
NVDA,2016-12-27,112,117,111,117,29856842
NVDA,2016-12-28,120,120,109,109,57394116
NVDA,2016-12-29,105,111,103,111,54384182
NVDA,2016-12-30,111,112,106,107,30323259
NVDA,2017-01-03,104,106,99,102,37549876
NVDA,2017-01-04,103,106,102,104,29980506
NVDA,2017-01-05,105,106,101,102,24607382
NVDA,2017-01-06,103,104,101,103,20571416
NVDA,2017-01-09,104,108,104,107,22906225
NVDA,2017-01-10,108,109,106,106,22022969
NVDA,2017-01-11,106,106,104,105,13141588
NVDA,2017-01-12,104,105,102,103,15640414
NVDA,2017-01-13,104,105,103,103,11445543
NVDA,2017-01-17,103,103,101,101,14515259
NVDA,2017-01-18,100,103,99,103,16360615
NVDA,2017-01-19,103,106,103,105,16121778
NVDA,2017-01-20,106,107,103,104,12300557
NVDA,2017-01-23,104,106,104,105,9247639
NVDA,2017-01-24,106,108,105,107,10701271
NVDA,2017-01-25,109,109,106,108,13084499
NVDA,2017-01-26,108,110,107,110,11469970
NVDA,2017-01-27,110,112,109,112,11799929
NVDA,2017-01-30,111,111,108,110,12400084
NVDA,2017-01-31,109,110,108,109,9068865
NVDA,2017-02-01,111,114,110,114,14750082
NVDA,2017-02-02,113,116,112,115,12081040
NVDA,2017-02-03,115,116,114,114,9318633
NVDA,2017-02-06,114,117,114,117,12669205
NVDA,2017-02-07,119,121,118,119,18655567
NVDA,2017-02-08,118,119,116,119,11239487
NVDA,2017-02-09,119,119,116,116,21064178
NVDA,2017-02-10,120,121,113,114,41277341
NVDA,2017-02-13,113,114,108,108,29518071
NVDA,2017-02-14,108,110,106,109,21265787
NVDA,2017-02-15,109,110,108,109,9325512
NVDA,2017-02-16,109,109,106,107,16179386
NVDA,2017-02-17,107,107,105,107,14093465
NVDA,2017-02-21,108,111,108,111,13798783
NVDA,2017-02-22,111,112,110,111,10844256
NVDA,2017-02-23,106,106,100,100,39822213
NVDA,2017-02-24,97,102,96,101,25747597
NVDA,2017-02-27,102,105,102,104,17885019
NVDA,2017-02-28,105,105,101,101,15633968
NVDA,2017-03-01,104,104,101,103,12620139
NVDA,2017-03-02,102,103,99,99,18858278
NVDA,2017-03-03,99,99,96,98,21636424
NVDA,2017-03-06,97,98,95,98,22089169
NVDA,2017-03-07,98,100,97,99,15085007
NVDA,2017-03-08,101,101,98,99,15967822
NVDA,2017-03-09,98,99,97,99,11951471
NVDA,2017-03-10,100,100,98,99,12493513
NVDA,2017-03-13,100,102,100,102,19353402
NVDA,2017-03-14,102,103,100,102,13050415
NVDA,2017-03-15,102,103,100,103,15375852
