stock_name,date,open,high,low,close,volume
TXN,2016-09-16,70,70,68,69,6506189
TXN,2016-09-19,70,70,69,70,4100559
TXN,2016-09-20,70,70,69,69,3026685
TXN,2016-09-21,69,70,69,70,4202113
TXN,2016-09-22,70,70,69,70,3566304
TXN,2016-09-23,70,70,69,69,3088066
TXN,2016-09-26,69,69,68,68,3475623
TXN,2016-09-27,68,69,68,69,4560225
TXN,2016-09-28,69,70,69,70,3241333
TXN,2016-09-29,70,70,69,70,4337901
TXN,2016-09-30,70,71,70,70,5071022
TXN,2016-10-03,70,70,69,70,3627810
TXN,2016-10-04,70,70,69,70,4089515
TXN,2016-10-05,70,71,69,71,4789572
TXN,2016-10-06,70,71,70,71,4061513
TXN,2016-10-07,71,71,70,71,3673887
TXN,2016-10-10,71,71,70,70,4893217
TXN,2016-10-11,70,70,68,69,5204371
TXN,2016-10-12,69,69,68,68,3563930
TXN,2016-10-13,68,68,67,68,3897658
TXN,2016-10-14,68,69,68,68,4329253
TXN,2016-10-17,69,69,68,68,2620850
TXN,2016-10-18,70,70,69,69,3590718
TXN,2016-10-19,69,70,69,69,5530750
TXN,2016-10-20,69,70,69,70,3850423
TXN,2016-10-21,69,70,69,70,7027512
TXN,2016-10-24,70,72,70,72,5887988
TXN,2016-10-25,72,72,71,71,4614234
TXN,2016-10-26,71,72,71,72,8150975
TXN,2016-10-27,71,72,70,71,9627039
TXN,2016-10-28,71,72,71,71,6360131
TXN,2016-10-31,71,71,71,71,5411394
TXN,2016-11-01,71,71,69,69,7375307
TXN,2016-11-02,70,70,69,69,6516774
TXN,2016-11-03,69,69,68,68,6723573
TXN,2016-11-04,67,68,67,68,6056310
TXN,2016-11-07,69,69,68,69,5751076
TXN,2016-11-08,69,70,69,70,5409619
TXN,2016-11-09,68,70,68,70,5698213
TXN,2016-11-10,70,71,68,69,7190568
TXN,2016-11-11,69,70,69,70,4974866
TXN,2016-11-14,70,70,70,70,6492956
TXN,2016-11-15,70,71,70,71,4736520
TXN,2016-11-16,71,71,71,71,4880387
TXN,2016-11-17,71,72,71,72,3773836
TXN,2016-11-18,72,73,72,73,5484164
TXN,2016-11-21,73,74,73,74,5447043
TXN,2016-11-22,74,75,74,74,6824105
TXN,2016-11-23,74,75,74,74,3995498
TXN,2016-11-25,74,75,74,74,1978800
TXN,2016-11-28,74,75,74,75,4512018
TXN,2016-11-29,75,75,74,74,6347037
TXN,2016-11-30,75,75,74,74,6768174
TXN,2016-12-01,74,74,70,70,9631119
TXN,2016-12-02,70,71,70,71,5946393
TXN,2016-12-05,71,72,70,71,6405080
TXN,2016-12-06,71,71,71,71,7039805
TXN,2016-12-07,72,72,71,72,6045939
TXN,2016-12-08,72,73,72,72,5473578
TXN,2016-12-09,72,73,72,72,6101234
TXN,2016-12-12,72,72,71,72,3340561
TXN,2016-12-13,72,74,72,73,6950888
TXN,2016-12-14,74,74,72,73,6474082
TXN,2016-12-15,73,74,72,73,5079458
TXN,2016-12-16,73,74,73,73,6478666
TXN,2016-12-19,73,74,73,74,3817950
TXN,2016-12-20,74,74,74,74,3181963
TXN,2016-12-21,74,75,74,74,4272192
TXN,2016-12-22,74,74,74,74,3470787
TXN,2016-12-23,74,74,74,74,1690787
TXN,2016-12-27,74,75,74,75,2037175
TXN,2016-12-28,75,75,74,74,2683395
TXN,2016-12-29,74,74,74,74,3292572
TXN,2016-12-30,74,74,73,73,4311767
TXN,2017-01-03,74,74,73,74,4847913
TXN,2017-01-04,74,74,73,73,4507084
TXN,2017-01-05,73,74,73,73,4301121
TXN,2017-01-06,73,74,72,74,5244559
TXN,2017-01-09,75,75,74,74,4782977
TXN,2017-01-10,75,75,74,75,3712482
TXN,2017-01-11,75,75,74,75,4361427
TXN,2017-01-12,75,75,74,75,4408340
TXN,2017-01-13,75,75,75,75,3372528
TXN,2017-01-17,75,75,74,74,4413082
TXN,2017-01-18,75,75,74,74,5531370
TXN,2017-01-19,74,75,74,74,4468534
TXN,2017-01-20,74,75,74,75,6661449
TXN,2017-01-23,75,76,75,76,6895107
TXN,2017-01-24,76,77,76,77,8561560
TXN,2017-01-25,78,79,77,79,8119910
TXN,2017-01-26,78,79,78,79,8991521
TXN,2017-01-27,79,79,78,78,9737561
TXN,2017-01-30,78,78,77,78,8355246
TXN,2017-01-31,77,78,75,76,11129400
TXN,2017-02-01,76,77,76,76,7815792
TXN,2017-02-02,76,76,75,76,4434547
TXN,2017-02-03,76,77,76,77,4546974
TXN,2017-02-06,76,76,76,76,4632971
TXN,2017-02-07,76,77,76,76,4500917
TXN,2017-02-08,76,77,76,76,5864697
