name,date,open,high,low,close,volume
FB,2018-04-27 16:00:00,174.0500,174.1350,173.4700,173.5900,1256217
FB,2018-04-27 15:59:00,173.9000,174.0700,173.8900,174.0301,179567
FB,2018-04-27 15:58:00,173.9400,173.9550,173.8700,173.9000,94646
FB,2018-04-27 15:57:00,173.8350,174.0100,173.8100,173.9450,168758
FB,2018-04-27 15:56:00,173.8547,173.8700,173.7901,173.8500,97201
FB,2018-04-27 15:55:00,173.7800,173.8600,173.7700,173.8600,115259
FB,2018-04-27 15:54:00,173.7300,173.7900,173.6100,173.7500,119205
FB,2018-04-27 15:53:00,173.6500,173.7700,173.6500,173.7300,64110
FB,2018-04-27 15:52:00,173.7000,173.7200,173.6300,173.6440,52527
FB,2018-04-27 15:51:00,173.6400,173.7200,173.6400,173.6950,53821
FB,2018-04-27 15:50:00,173.7300,173.7400,173.6400,173.6799,50532
FB,2018-04-27 15:49:00,173.6500,173.7700,173.6300,173.7275,55624
FB,2018-04-27 15:48:00,173.6600,173.7300,173.5801,173.6800,67264
FB,2018-04-27 15:47:00,173.7300,173.7661,173.6510,173.6600,73250
FB,2018-04-27 15:46:00,173.6450,173.7700,173.6350,173.7200,84033
FB,2018-04-27 15:45:00,173.6000,173.7099,173.5601,173.6500,70126
FB,2018-04-27 15:44:00,173.4800,173.6250,173.4600,173.6100,68821
FB,2018-04-27 15:43:00,173.6200,173.6392,173.4400,173.4800,92376
FB,2018-04-27 15:42:00,173.5100,173.6200,173.5000,173.6150,63212
FB,2018-04-27 15:41:00,173.5500,173.5950,173.4700,173.5200,44731
FB,2018-04-27 15:40:00,173.4250,173.5700,173.4250,173.5400,57634
FB,2018-04-27 15:39:00,173.4200,173.4900,173.3600,173.4250,70870
FB,2018-04-27 15:38:00,173.3600,173.4200,173.3000,173.4150,49077
FB,2018-04-27 15:37:00,173.3400,173.4500,173.3300,173.3500,47810
FB,2018-04-27 15:36:00,173.3800,173.4300,173.3000,173.3500,56212
FB,2018-04-27 15:35:00,173.2500,173.4500,173.2400,173.3900,98540
FB,2018-04-27 15:34:00,173.1400,173.2637,173.1200,173.2500,56901
FB,2018-04-27 15:33:00,173.0390,173.1900,173.0100,173.1300,67187
FB,2018-04-27 15:32:00,172.8400,173.0700,172.8300,173.0300,80842
FB,2018-04-27 15:31:00,172.7100,172.8600,172.7100,172.8404,59217
FB,2018-04-27 15:30:00,172.7400,172.7400,172.6400,172.7100,41639
FB,2018-04-27 15:29:00,172.6600,172.7300,172.6400,172.7200,28948
FB,2018-04-27 15:28:00,172.6700,172.7700,172.6100,172.6700,52226
FB,2018-04-27 15:27:00,172.8900,172.9000,172.6000,172.6700,67110
FB,2018-04-27 15:26:00,172.9000,172.9500,172.8850,172.8900,33899
FB,2018-04-27 15:25:00,172.8500,172.9654,172.8300,172.9100,35612
FB,2018-04-27 15:24:00,172.8200,172.8610,172.7300,172.8550,53106
FB,2018-04-27 15:23:00,172.8400,172.9100,172.8150,172.8247,23115
FB,2018-04-27 15:22:00,172.8084,172.9395,172.8084,172.8500,29792
FB,2018-04-27 15:21:00,172.9000,172.9000,172.8000,172.8200,34439
FB,2018-04-27 15:20:00,172.8490,172.9400,172.8490,172.8980,39865
FB,2018-04-27 15:19:00,172.8300,172.8900,172.8100,172.8400,26901
FB,2018-04-27 15:18:00,172.8900,172.9100,172.7700,172.8400,30743
FB,2018-04-27 15:17:00,172.8550,172.9138,172.8500,172.8816,26664
FB,2018-04-27 15:16:00,172.8980,172.9900,172.8300,172.8500,25834
FB,2018-04-27 15:15:00,172.8781,172.9100,172.7500,172.8900,25348
FB,2018-04-27 15:14:00,172.8700,172.9600,172.8493,172.8700,17840
FB,2018-04-27 15:13:00,172.7800,172.8874,172.7501,172.8500,20596
FB,2018-04-27 15:12:00,172.9200,172.9500,172.7700,172.7771,30754
FB,2018-04-27 15:11:00,172.7600,172.9600,172.7500,172.9200,30378
FB,2018-04-27 15:10:00,172.8700,172.8700,172.7300,172.7600,45458
