name,date,open,high,low,close,volume
GOOG,2018-04-27 15:59:00,1030.4299,1030.7500,1030.1100,1030.7500,5302
GOOG,2018-04-27 15:58:00,1030.1500,1030.5000,1029.9655,1030.4900,3185
GOOG,2018-04-27 15:57:00,1030.2700,1030.5497,1030.0400,1030.1300,800
GOOG,2018-04-27 15:56:00,1030.5900,1030.6241,1029.9400,1030.1400,1135
GOOG,2018-04-27 15:55:00,1030.3900,1030.6500,1030.3900,1030.5800,600
GOOG,2018-04-27 15:54:00,1030.5300,1030.7900,1030.2700,1030.7900,1000
GOOG,2018-04-27 15:53:00,1030.1103,1030.5900,1030.1103,1030.5900,1335
GOOG,2018-04-27 15:52:00,1030.2825,1030.4700,1030.0200,1030.2000,1300
GOOG,2018-04-27 15:51:00,1030.5620,1030.6499,1030.5000,1030.5000,955
GOOG,2018-04-27 15:50:00,1030.6400,1030.6800,1030.1200,1030.4600,736
GOOG,2018-04-27 15:49:00,1031.3700,1031.5500,1030.8900,1030.8900,1000
GOOG,2018-04-27 15:48:00,1030.8100,1031.2100,1030.7600,1031.2100,2000
GOOG,2018-04-27 15:47:00,1030.9700,1031.1000,1030.5500,1030.6877,3272
GOOG,2018-04-27 15:46:00,1029.4700,1030.9599,1029.4700,1030.9599,721
GOOG,2018-04-27 15:45:00,1029.7780,1029.9700,1029.7780,1029.9700,200
GOOG,2018-04-27 15:44:00,1029.5700,1030.1499,1029.5700,1029.5900,1006
GOOG,2018-04-27 15:43:00,1031.0000,1031.0000,1029.1250,1029.6150,1895
GOOG,2018-04-27 15:42:00,1030.3100,1030.9500,1030.0000,1030.8483,1600
GOOG,2018-04-27 15:41:00,1030.3350,1030.5000,1029.8900,1030.3500,4758
GOOG,2018-04-27 15:40:00,1030.0000,1030.3500,1030.0000,1030.3500,1202
GOOG,2018-04-27 15:39:00,1029.4300,1029.7499,1029.4300,1029.7499,300
GOOG,2018-04-27 15:38:00,1029.5499,1029.5499,1028.7887,1029.0371,2949
GOOG,2018-04-27 15:37:00,1029.3300,1029.4785,1029.0900,1029.4785,563
GOOG,2018-04-27 15:36:00,1029.8800,1029.8800,1029.5400,1029.7599,923
GOOG,2018-04-27 15:35:00,1029.8300,1030.2000,1029.4000,1030.0650,3543
GOOG,2018-04-27 15:34:00,1028.8600,1029.5400,1028.8300,1029.5400,1252
GOOG,2018-04-27 15:33:00,1028.1300,1029.0900,1028.0100,1029.0900,2320
GOOG,2018-04-27 15:32:00,1027.6900,1028.2000,1027.5350,1028.2000,2387
GOOG,2018-04-27 15:31:00,1027.0300,1027.6000,1026.9325,1027.2100,1245
GOOG,2018-04-27 15:30:00,1026.4450,1027.0700,1026.4450,1027.0700,1139
GOOG,2018-04-27 15:29:00,1026.3700,1026.5250,1026.2300,1026.5250,800
GOOG,2018-04-27 15:28:00,1026.5100,1026.6520,1026.0000,1026.1900,5007
GOOG,2018-04-27 15:27:00,1027.6000,1027.6000,1026.2750,1026.2750,5953
GOOG,2018-04-27 15:26:00,1027.7240,1028.0364,1027.4900,1027.4900,600
GOOG,2018-04-27 15:25:00,1027.7200,1028.2800,1027.4600,1027.8900,1400
GOOG,2018-04-27 15:23:00,1028.3174,1028.4200,1027.6600,1027.6600,1219
