name,date,open,high,low,close,volume
GS,2018-04-27 15:59:00,239.7800,239.8600,239.7600,239.8000,9077
GS,2018-04-27 15:58:00,239.6900,239.8400,239.6900,239.7800,3623
GS,2018-04-27 15:57:00,239.8100,239.8300,239.6900,239.6900,2512
GS,2018-04-27 15:56:00,239.8200,239.8200,239.7600,239.7800,2411
GS,2018-04-27 15:55:00,239.9000,239.9200,239.7900,239.8000,3242
GS,2018-04-27 15:54:00,239.8000,239.8700,239.7900,239.8700,1200
GS,2018-04-27 15:53:00,239.7800,239.8500,239.7800,239.8500,1897
GS,2018-04-27 15:52:00,239.9000,239.9000,239.7690,239.7690,1602
GS,2018-04-27 15:51:00,239.8500,239.9100,239.8000,239.9100,1539
GS,2018-04-27 15:50:00,239.9500,239.9500,239.7900,239.7900,3778
GS,2018-04-27 15:49:00,240.0600,240.0700,239.9190,239.9900,3262
GS,2018-04-27 15:48:00,240.0600,240.1200,240.0400,240.0400,1971
GS,2018-04-27 15:47:00,240.0000,240.0400,239.9400,240.0400,1410
GS,2018-04-27 15:46:00,239.7400,239.9600,239.7400,239.9300,1298
GS,2018-04-27 15:45:00,239.7400,239.8000,239.7400,239.8000,556
GS,2018-04-27 15:44:00,239.6100,239.7800,239.5950,239.7800,3397
GS,2018-04-27 15:43:00,239.9900,239.9900,239.6364,239.6536,5543
GS,2018-04-27 15:42:00,239.9300,240.0000,239.9300,239.9600,3009
GS,2018-04-27 15:41:00,239.9000,239.9032,239.8600,239.8900,5589
GS,2018-04-27 15:40:00,239.8700,239.8990,239.8400,239.8500,5206
GS,2018-04-27 15:39:00,239.7100,239.8700,239.7100,239.8500,8299
GS,2018-04-27 15:38:00,239.6277,239.7400,239.6000,239.7300,2257
GS,2018-04-27 15:37:00,239.6700,239.6900,239.5500,239.5900,1740
GS,2018-04-27 15:36:00,239.7500,239.7500,239.6700,239.6700,707
GS,2018-04-27 15:35:00,239.8900,239.8900,239.7400,239.7500,3007
GS,2018-04-27 15:34:00,239.8000,239.9200,239.8000,239.8800,2825
GS,2018-04-27 15:33:00,239.7924,239.8848,239.7924,239.8800,1900
GS,2018-04-27 15:32:00,239.7400,239.8000,239.7400,239.8000,1384
GS,2018-04-27 15:31:00,239.7500,239.8100,239.6900,239.7400,1729
GS,2018-04-27 15:30:00,239.7471,239.8250,239.7301,239.7700,3500
GS,2018-04-27 15:29:00,239.6100,239.6200,239.5600,239.6200,2103
GS,2018-04-27 15:28:00,239.6200,239.6400,239.5400,239.5800,2600
GS,2018-04-27 15:27:00,239.8100,239.8100,239.5700,239.6300,2988
GS,2018-04-27 15:26:00,239.9000,239.9300,239.7900,239.7900,2700
GS,2018-04-27 15:25:00,239.9500,240.0250,239.9200,239.9200,2878
GS,2018-04-27 15:24:00,239.9500,240.0000,239.9400,239.9900,1103
GS,2018-04-27 15:23:00,240.0700,240.1100,239.9200,239.9400,1928
