name,date,open,high,low,close,volume
NDAQ,2018-04-27 16:00:00,88.8000,88.9200,88.7800,88.8000,60596
NDAQ,2018-04-27 15:59:00,88.7400,88.8100,88.7400,88.8000,12145
NDAQ,2018-04-27 15:58:00,88.7300,88.7500,88.7300,88.7300,3513
NDAQ,2018-04-27 15:57:00,88.6900,88.7500,88.6800,88.7300,7152
NDAQ,2018-04-27 15:56:00,88.7200,88.7299,88.6800,88.6900,6159
NDAQ,2018-04-27 15:55:00,88.7600,88.7700,88.7400,88.7400,2138
NDAQ,2018-04-27 15:54:00,88.7800,88.7900,88.7600,88.7700,5868
NDAQ,2018-04-27 15:53:00,88.8300,88.8300,88.7800,88.7900,7000
NDAQ,2018-04-27 15:52:00,88.8600,88.8600,88.8300,88.8350,11864
NDAQ,2018-04-27 15:51:00,88.8600,88.8700,88.8400,88.8600,3351
NDAQ,2018-04-27 15:50:00,88.8700,88.9000,88.8100,88.8500,7750
NDAQ,2018-04-27 15:49:00,88.8600,88.8700,88.8600,88.8650,1100
NDAQ,2018-04-27 15:48:00,88.8900,88.9000,88.8700,88.8700,5550
NDAQ,2018-04-27 15:47:00,88.8700,88.8900,88.8700,88.8900,2990
NDAQ,2018-04-27 15:46:00,88.8600,88.9000,88.8500,88.8700,6700
NDAQ,2018-04-27 15:45:00,88.8700,88.8800,88.8600,88.8600,3020
NDAQ,2018-04-27 15:44:00,88.8100,88.8550,88.8100,88.8400,1900
NDAQ,2018-04-27 15:43:00,88.9300,88.9400,88.8100,88.8100,5500
NDAQ,2018-04-27 15:42:00,88.9300,88.9400,88.9200,88.9300,3900
NDAQ,2018-04-27 15:41:00,88.9250,88.9300,88.9100,88.9200,1700
NDAQ,2018-04-27 15:40:00,88.8900,88.9500,88.8800,88.9200,5300
NDAQ,2018-04-27 15:39:00,88.8700,88.8800,88.8600,88.8800,2300
NDAQ,2018-04-27 15:38:00,88.8300,88.8700,88.8300,88.8700,4516
NDAQ,2018-04-27 15:37:00,88.8450,88.8450,88.8300,88.8300,2357
NDAQ,2018-04-27 15:36:00,88.8650,88.8650,88.8450,88.8450,2756
NDAQ,2018-04-27 15:35:00,88.8600,88.8700,88.8450,88.8600,4000
NDAQ,2018-04-27 15:34:00,88.8300,88.8700,88.8300,88.8700,3900
NDAQ,2018-04-27 15:33:00,88.7500,88.8400,88.7500,88.8200,5500
NDAQ,2018-04-27 15:32:00,88.7400,88.7600,88.7350,88.7500,3524
