name,date,open,high,low,close,volume
NVDA,2018-04-27 16:00:00,226.5600,226.6000,226.3300,226.3400,77395
NVDA,2018-04-27 15:59:00,226.4600,226.5800,226.4570,226.5720,40609
NVDA,2018-04-27 15:58:00,226.3500,226.5050,226.3400,226.4500,22726
NVDA,2018-04-27 15:57:00,226.3100,226.3900,226.2600,226.3900,13903
NVDA,2018-04-27 15:56:00,226.2750,226.3000,226.1850,226.3000,10097
NVDA,2018-04-27 15:55:00,226.2700,226.3000,226.2301,226.2800,25967
NVDA,2018-04-27 15:54:00,226.2550,226.2700,226.1300,226.2700,12509
NVDA,2018-04-27 15:53:00,226.0500,226.2600,226.0400,226.2600,28181
NVDA,2018-04-27 15:52:00,226.2402,226.2500,226.0100,226.0600,13917
NVDA,2018-04-27 15:51:00,226.4048,226.5000,226.2200,226.2400,25279
NVDA,2018-04-27 15:50:00,226.7500,226.7600,226.3600,226.3601,40071
NVDA,2018-04-27 15:49:00,226.5700,226.7600,226.5600,226.7424,14119
NVDA,2018-04-27 15:48:00,226.5200,226.6550,226.5200,226.5700,17600
NVDA,2018-04-27 15:47:00,226.5000,226.5560,226.5000,226.5100,2825
NVDA,2018-04-27 15:46:00,226.2500,226.4900,226.2500,226.4900,19780
NVDA,2018-04-27 15:45:00,226.3150,226.3900,226.2400,226.2400,12259
NVDA,2018-04-27 15:44:00,226.2600,226.3300,226.1500,226.3300,13623
NVDA,2018-04-27 15:43:00,226.5400,226.5600,226.2234,226.2800,21420
NVDA,2018-04-27 15:42:00,226.4400,226.5600,226.4200,226.5250,13125
NVDA,2018-04-27 15:41:00,226.5600,226.5600,226.3010,226.4600,23426
NVDA,2018-04-27 15:40:00,226.5600,226.6275,226.4750,226.5700,20299
NVDA,2018-04-27 15:39:00,226.6000,226.6000,226.5000,226.5400,15828
NVDA,2018-04-27 15:38:00,226.4450,226.6400,226.4100,226.6200,12399
NVDA,2018-04-27 15:37:00,226.4900,226.5255,226.4100,226.4550,10453
NVDA,2018-04-27 15:36:00,226.6500,226.6900,226.5000,226.5000,14719
NVDA,2018-04-27 15:35:00,226.8900,226.8900,226.6500,226.6800,14986
NVDA,2018-04-27 15:34:00,226.6210,226.9150,226.6210,226.8600,20797
NVDA,2018-04-27 15:33:00,226.3348,226.7500,226.3300,226.6000,20853
NVDA,2018-04-27 15:32:00,226.1750,226.3500,226.1510,226.3500,12122
NVDA,2018-04-27 15:31:00,226.0200,226.2700,225.9800,226.1500,26968
NVDA,2018-04-27 15:30:00,225.9700,226.1100,225.9500,226.0200,19568
NVDA,2018-04-27 15:29:00,225.9400,225.9900,225.8957,225.9500,11330
NVDA,2018-04-27 15:28:00,225.8400,225.9699,225.8300,225.9300,10519
NVDA,2018-04-27 15:27:00,226.2812,226.2850,225.8000,225.8800,48516
