name,date,open,high,low,close,volume
PETX,2018-04-27 16:00:00,5.0200,5.0200,5.0100,5.0100,5542
PETX,2018-04-27 15:59:00,5.0150,5.0200,5.0150,5.0200,4404
PETX,2018-04-27 15:58:00,5.0100,5.0200,5.0100,5.0200,400
PETX,2018-04-27 15:57:00,5.0200,5.0200,5.0169,5.0200,1300
PETX,2018-04-27 15:56:00,5.0200,5.0200,5.0100,5.0200,1800
PETX,2018-04-27 15:55:00,5.0100,5.0200,5.0100,5.0200,700
PETX,2018-04-27 15:53:00,5.0100,5.0100,5.0100,5.0100,400
PETX,2018-04-27 15:51:00,5.0200,5.0200,4.9900,5.0000,4843
PETX,2018-04-27 15:50:00,5.0100,5.0100,5.0100,5.0100,700
PETX,2018-04-27 15:49:00,5.0000,5.0100,5.0000,5.0100,800
PETX,2018-04-27 15:48:00,5.0000,5.0000,5.0000,5.0000,3200
PETX,2018-04-27 15:47:00,5.0000,5.0050,5.0000,5.0000,5900
PETX,2018-04-27 15:46:00,5.0100,5.0100,5.0000,5.0100,6400
PETX,2018-04-27 15:45:00,5.0300,5.0400,5.0000,5.0000,16957
PETX,2018-04-27 15:44:00,5.0300,5.0400,5.0300,5.0400,800
PETX,2018-04-27 15:43:00,5.0200,5.0200,5.0200,5.0200,100
PETX,2018-04-27 15:42:00,5.0100,5.0300,5.0100,5.0300,933
PETX,2018-04-27 15:41:00,5.0100,5.0100,5.0100,5.0100,300
PETX,2018-04-27 15:40:00,5.0000,5.0100,5.0000,5.0100,800
PETX,2018-04-27 15:39:00,5.0300,5.0300,4.9900,4.9900,10276
PETX,2018-04-27 15:38:00,5.0300,5.0300,5.0300,5.0300,300
PETX,2018-04-27 15:37:00,5.0300,5.0300,5.0300,5.0300,400
PETX,2018-04-27 15:36:00,5.0300,5.0300,5.0300,5.0300,200
PETX,2018-04-27 15:35:00,5.0200,5.0250,5.0200,5.0250,1700
PETX,2018-04-27 15:34:00,5.0279,5.0279,5.0200,5.0200,3100
PETX,2018-04-27 15:33:00,5.0250,5.0250,5.0200,5.0250,600
PETX,2018-04-27 15:31:00,5.0300,5.0300,5.0300,5.0300,100
PETX,2018-04-27 15:30:00,5.0500,5.0500,5.0100,5.0200,8263
PETX,2018-04-27 15:29:00,5.0500,5.0500,5.0500,5.0500,2400
PETX,2018-04-27 15:28:00,5.0500,5.0500,5.0450,5.0450,3828
PETX,2018-04-27 15:25:00,5.0400,5.0500,5.0400,5.0500,800
PETX,2018-04-27 15:24:00,5.0310,5.0310,5.0310,5.0310,300
