name,date,open,high,low,close,volume
TXN,2018-04-27 15:59:00,102.7100,102.7100,102.6500,102.6950,43053
TXN,2018-04-27 15:58:00,102.6600,102.7200,102.6600,102.7100,23504
TXN,2018-04-27 15:57:00,102.6350,102.6700,102.6200,102.6650,20144
TXN,2018-04-27 15:56:00,102.6550,102.6800,102.6100,102.6300,21987
TXN,2018-04-27 15:55:00,102.6550,102.6700,102.6150,102.6500,11572
TXN,2018-04-27 15:54:00,102.6600,102.6700,102.6100,102.6600,14214
TXN,2018-04-27 15:53:00,102.5950,102.6566,102.5900,102.6500,13389
TXN,2018-04-27 15:52:00,102.5450,102.6000,102.5450,102.5900,12859
TXN,2018-04-27 15:51:00,102.6300,102.6300,102.5200,102.5400,13191
TXN,2018-04-27 15:50:00,102.7450,102.7500,102.5900,102.7400,16508
TXN,2018-04-27 15:49:00,102.7200,102.7600,102.7150,102.7450,7465
TXN,2018-04-27 15:48:00,102.7200,102.7700,102.7100,102.7200,9202
TXN,2018-04-27 15:47:00,102.7300,102.7500,102.7100,102.7100,8756
TXN,2018-04-27 15:46:00,102.6900,102.7500,102.6800,102.7200,12665
TXN,2018-04-27 15:45:00,102.7100,102.7100,102.7000,102.7000,3100
TXN,2018-04-27 15:44:00,102.6550,102.7100,102.6400,102.7100,9612
TXN,2018-04-27 15:43:00,102.7100,102.7200,102.6200,102.6600,48974
TXN,2018-04-27 15:42:00,102.6900,102.7100,102.6800,102.7100,6222
TXN,2018-04-27 15:41:00,102.7400,102.7400,102.6800,102.6800,10313
TXN,2018-04-27 15:40:00,102.7100,102.7600,102.6950,102.7400,14039
TXN,2018-04-27 15:39:00,102.7100,102.7300,102.6850,102.7100,12044
TXN,2018-04-27 15:38:00,102.7000,102.7100,102.7000,102.7100,7543
TXN,2018-04-27 15:37:00,102.6900,102.7200,102.6850,102.7050,20067
TXN,2018-04-27 15:36:00,102.7100,102.7100,102.6500,102.6900,7211
TXN,2018-04-27 15:35:00,102.7300,102.7300,102.6500,102.7100,9641
TXN,2018-04-27 15:34:00,102.6800,102.7500,102.6800,102.7400,10605
TXN,2018-04-27 15:33:00,102.5800,102.7300,102.5800,102.6800,13257
TXN,2018-04-27 15:32:00,102.5650,102.5900,102.5400,102.5800,9037
TXN,2018-04-27 15:31:00,102.5300,102.5700,102.5000,102.5700,11177
TXN,2018-04-27 15:30:00,102.5500,102.5800,102.5350,102.5500,8906
TXN,2018-04-27 15:29:00,102.4600,102.5400,102.4600,102.5400,7648
TXN,2018-04-27 15:28:00,102.5100,102.5350,102.4600,102.4700,6074
TXN,2018-04-27 15:27:00,102.6900,102.7000,102.4700,102.5200,17894
TXN,2018-04-27 15:26:00,102.7050,102.7250,102.6900,102.6950,8503
TXN,2018-04-27 15:25:00,102.7000,102.7500,102.7000,102.7100,18224
TXN,2018-04-27 15:24:00,102.6300,102.7000,102.6100,102.7000,17381
TXN,2018-04-27 15:23:00,102.6358,102.6500,102.6200,102.6200,5900
TXN,2018-04-27 15:22:00,102.6800,102.6800,102.6300,102.6300,9500
TXN,2018-04-27 15:21:00,102.7200,102.7550,102.7000,102.7000,34450
TXN,2018-04-27 15:20:00,102.7100,102.7400,102.7100,102.7300,7758
TXN,2018-04-27 15:19:00,102.7150,102.7150,102.6900,102.7100,6355
TXN,2018-04-27 15:18:00,102.6900,102.7400,102.6700,102.7300,10256
TXN,2018-04-27 15:17:00,102.6800,102.6950,102.6700,102.6700,7637
TXN,2018-04-27 15:16:00,102.6700,102.7000,102.6700,102.6900,11243
TXN,2018-04-27 15:15:00,102.6200,102.6700,102.5900,102.6700,5461
TXN,2018-04-27 15:14:00,102.6200,102.6600,102.6200,102.6200,8037
TXN,2018-04-27 15:13:00,102.5400,102.6200,102.5400,102.6200,13155
TXN,2018-04-27 15:12:00,102.6500,102.6700,102.5210,102.5400,11214
TXN,2018-04-27 15:11:00,102.5900,102.6500,102.5600,102.6450,5100
TXN,2018-04-27 15:10:00,102.5300,102.6000,102.5300,102.5850,8100
TXN,2018-04-27 15:09:00,102.5900,102.5900,102.5300,102.5450,5998
TXN,2018-04-27 15:08:00,102.5600,102.6100,102.5300,102.6000,55255
TXN,2018-04-27 15:07:00,102.6200,102.6400,102.5300,102.5450,23193
TXN,2018-04-27 15:06:00,102.6200,102.6500,102.5600,102.6200,10355
TXN,2018-04-27 15:05:00,102.6900,102.6900,102.6300,102.6466,10108
TXN,2018-04-27 15:04:00,102.7100,102.7100,102.6400,102.6800,7598
TXN,2018-04-27 15:03:00,102.6300,102.6900,102.5900,102.6900,16073
TXN,2018-04-27 15:02:00,102.6100,102.6300,102.5600,102.6300,56157
TXN,2018-04-27 15:01:00,102.6700,102.6700,102.5900,102.6200,21500
TXN,2018-04-27 15:00:00,102.6400,102.6900,102.6400,102.6800,3908
TXN,2018-04-27 14:59:00,102.6208,102.6900,102.6100,102.6500,19429
TXN,2018-04-27 14:58:00,102.5634,102.6344,102.5634,102.6100,5400
TXN,2018-04-27 14:57:00,102.5800,102.6250,102.5600,102.5600,7520
TXN,2018-04-27 14:56:00,102.5500,102.5800,102.5200,102.5800,12743
TXN,2018-04-27 14:55:00,102.4900,102.5402,102.4600,102.5402,8140
TXN,2018-04-27 14:54:00,102.4600,102.5200,102.4600,102.5000,18050
TXN,2018-04-27 14:53:00,102.5000,102.5200,102.4400,102.4500,5500
TXN,2018-04-27 14:52:00,102.4900,102.5200,102.4800,102.5000,4579
TXN,2018-04-27 14:51:00,102.5450,102.5900,102.4800,102.5000,111800
TXN,2018-04-27 14:50:00,102.5200,102.5350,102.4500,102.5350,5580
TXN,2018-04-27 14:49:00,102.5600,102.5600,102.5200,102.5200,3152
TXN,2018-04-27 14:48:00,102.5400,102.5800,102.5200,102.5600,4945
TXN,2018-04-27 14:47:00,102.5400,102.6100,102.5400,102.5600,3550
TXN,2018-04-27 14:46:00,102.5400,102.6100,102.5400,102.5700,8124
TXN,2018-04-27 14:45:00,102.5200,102.5500,102.5000,102.5300,6208
TXN,2018-04-27 14:44:00,102.4720,102.5400,102.4600,102.5300,13407
TXN,2018-04-27 14:43:00,102.4810,102.4846,102.4500,102.4600,4100
TXN,2018-04-27 14:42:00,102.4800,102.4900,102.4596,102.4800,2820
TXN,2018-04-27 14:41:00,102.4678,102.5300,102.4500,102.4865,7278
TXN,2018-04-27 14:40:00,102.4500,102.4639,102.4350,102.4500,6500
TXN,2018-04-27 14:39:00,102.4950,102.4950,102.4400,102.4550,3031
TXN,2018-04-27 14:38:00,102.5250,102.5350,102.4700,102.4800,6463
TXN,2018-04-27 14:37:00,102.5600,102.5700,102.5200,102.5300,4410
TXN,2018-04-27 14:36:00,102.5700,102.5900,102.5400,102.5570,59576
TXN,2018-04-27 14:35:00,102.5100,102.5900,102.5100,102.5900,7937
TXN,2018-04-27 14:34:00,102.5200,102.5200,102.4800,102.5200,2800
TXN,2018-04-27 14:33:00,102.4100,102.5100,102.4100,102.5100,13605
TXN,2018-04-27 14:32:00,102.3500,102.4497,102.3500,102.4000,6120
TXN,2018-04-27 14:31:00,102.3300,102.3400,102.2900,102.3300,22067
TXN,2018-04-27 14:30:00,102.2850,102.3500,102.2850,102.3450,8256
TXN,2018-04-27 14:29:00,102.3100,102.3100,102.2700,102.2800,4405
TXN,2018-04-27 14:28:00,102.3000,102.3200,102.2950,102.3200,2100
TXN,2018-04-27 14:27:00,102.3100,102.3320,102.2850,102.3000,12497
TXN,2018-04-27 14:26:00,102.3700,102.3750,102.3000,102.3000,6600
TXN,2018-04-27 14:25:00,102.3100,102.3700,102.2950,102.3632,4508
TXN,2018-04-27 14:24:00,102.2200,102.3100,102.2200,102.2900,8975
TXN,2018-04-27 14:23:00,102.2364,102.2500,102.1800,102.2200,5839
TXN,2018-04-27 14:22:00,102.2300,102.2900,102.2100,102.2300,5800
TXN,2018-04-27 14:21:00,102.2100,102.2600,102.2100,102.2200,5278
TXN,2018-04-27 14:20:00,102.1900,102.2400,102.1900,102.2300,5400
