name,date,open,high,low,close,volume
FB,2018-04-25,160.1448,161.0600,156.1900,159.6900,41083581
FB,2018-04-24,165.4300,166.1000,158.1900,159.6900,35079926
FB,2018-04-23,167.2700,168.4500,165.0900,165.8400,23088102
FB,2018-04-20,167.7900,168.4300,165.8100,166.2800,19119438
FB,2018-04-19,166.2000,168.3300,165.2000,168.1000,22234961
FB,2018-04-18,166.8800,168.1200,165.7700,166.3600,20969568
FB,2018-04-17,165.8300,169.0000,165.6600,168.6600,22743029
FB,2018-04-16,165.7249,165.7800,163.3900,164.8300,18119435
FB,2018-04-13,164.5800,165.7036,163.7700,164.5200,19990561
FB,2018-04-12,166.9800,167.4500,163.1000,163.8700,38262956
FB,2018-04-11,165.3600,168.6500,163.2500,166.3200,56144633
FB,2018-04-10,157.9300,165.9800,157.0100,165.0400,58947041
FB,2018-04-09,157.8200,160.5300,156.0400,157.9300,34915227
FB,2018-04-06,157.7300,161.4200,156.8100,157.2000,41644812
FB,2018-04-05,161.5600,161.5750,156.6500,159.3400,41449609
FB,2018-04-04,152.0250,155.5600,150.5100,155.1000,49885584
FB,2018-04-03,156.5500,157.3900,150.8100,156.1100,42543865
FB,2018-04-02,157.8100,159.2000,154.1110,155.3900,36795991
FB,2018-03-29,155.1500,161.4200,154.1400,159.7900,59434293
FB,2018-03-28,151.6500,155.8800,150.8000,153.0300,60029170
FB,2018-03-27,156.3100,162.8500,150.7500,152.2200,76787884
FB,2018-03-26,160.8200,161.1000,149.0200,160.0600,125438294
FB,2018-03-23,165.4400,167.1000,159.0200,159.3900,52306891
FB,2018-03-22,166.1300,170.2700,163.7200,164.8900,73389988
FB,2018-03-21,164.8000,173.4000,163.3000,169.3900,105350867
FB,2018-03-20,167.4700,170.2000,161.9500,168.1500,128925534
FB,2018-03-19,177.0100,177.1700,170.0600,172.5600,86897749
FB,2018-03-16,184.4900,185.3300,183.4100,185.0900,23090480
FB,2018-03-15,183.2400,184.0000,182.1900,183.8600,15461869
FB,2018-03-14,182.6000,184.2500,181.8500,184.1900,16426843
FB,2018-03-13,185.6100,185.9900,181.1100,181.8800,17742312
FB,2018-03-12,185.2300,186.1000,184.2200,184.7600,14873538
FB,2018-03-09,183.9100,185.5100,183.2100,185.2300,17952177
FB,2018-03-08,183.5600,184.4000,181.4500,182.3400,15336555
FB,2018-03-07,178.7400,183.8200,178.0700,183.7100,19097293
FB,2018-03-06,181.7800,182.3800,179.1100,179.7800,15086784
FB,2018-03-05,176.2000,181.1475,175.8900,180.4000,16189280
FB,2018-03-02,173.2900,177.1100,172.9900,176.6200,20025905
FB,2018-03-01,179.0100,180.1200,174.4100,175.9400,23201626
FB,2018-02-28,182.3000,182.8800,178.1400,178.3200,18208084
FB,2018-02-27,184.4500,184.7000,181.4600,181.4600,15649326
FB,2018-02-26,184.5800,185.6600,183.2228,184.9300,17418814
FB,2018-02-23,179.9000,183.3900,179.5100,183.2900,18621950
FB,2018-02-22,178.7000,180.2100,177.4100,178.9900,17085490
FB,2018-02-21,176.7100,181.2700,176.4000,177.9100,22844006
FB,2018-02-20,175.7700,177.9500,175.1100,176.0100,20887317
FB,2018-02-16,178.9900,179.8800,176.3000,177.3600,20475445
FB,2018-02-15,180.5000,180.5000,176.8400,179.9600,20554092
FB,2018-02-14,173.4500,179.8100,173.2119,179.5200,27963758
FB,2018-02-13,175.6200,175.9700,173.1000,173.1500,20880702
FB,2018-02-12,177.0600,177.5450,171.8400,176.4100,31697374
FB,2018-02-09,174.7600,176.9000,167.1800,176.1100,37214470
FB,2018-02-08,181.0100,181.8400,171.4815,171.5800,35672214
FB,2018-02-07,184.1500,185.0817,179.9500,180.1800,26891282
FB,2018-02-06,178.5700,185.7700,177.7400,185.3100,36829710
FB,2018-02-05,186.9300,190.6100,180.6100,181.2600,29852293
FB,2018-02-02,192.0400,194.2100,189.9800,190.2800,25514560
FB,2018-02-01,188.2200,195.3200,187.8900,193.0900,53608910
FB,2018-01-31,188.3700,189.8300,185.2200,186.8900,27299152
FB,2018-01-30,183.0100,188.1800,181.8400,187.1200,20382841
FB,2018-01-29,188.7500,188.8400,185.6301,185.9800,20022931
FB,2018-01-26,187.7500,190.0000,186.8100,190.0000,16652197
FB,2018-01-25,187.9500,188.6200,186.6000,187.4800,16698537
FB,2018-01-24,189.8900,190.6600,186.5200,186.5500,22992031
FB,2018-01-23,186.0500,189.5500,185.5500,189.3500,24956444
FB,2018-01-22,180.8000,185.3900,180.4100,185.3700,20567285
FB,2018-01-19,180.8500,182.3700,180.1702,181.2900,26266081
FB,2018-01-18,178.1300,180.9800,177.0800,179.8000,22783759
FB,2018-01-17,179.2600,179.3200,175.8000,177.6000,27356988
FB,2018-01-16,181.5000,181.7500,178.0400,178.3900,35027166
FB,2018-01-12,178.0600,181.4800,177.4000,179.3700,76645626
FB,2018-01-11,188.4000,188.4000,187.3800,187.7700,8855144
FB,2018-01-10,186.9400,187.8900,185.6300,187.8400,10464528
FB,2018-01-09,188.7000,188.8000,187.1000,187.8700,12342722
FB,2018-01-08,187.2000,188.9000,186.3300,188.2800,14719216
FB,2018-01-05,185.5900,186.9000,184.9300,186.8500,13042388
FB,2018-01-04,184.9000,186.2100,184.0996,184.3300,13554357
FB,2018-01-03,181.8800,184.7800,181.3300,184.6700,16595495
FB,2018-01-02,177.6800,181.5800,177.5500,181.4200,17694891
FB,2017-12-29,178.0000,178.8500,176.4600,176.4600,10028758
FB,2017-12-28,177.9500,178.9367,177.6800,177.9200,11008996
FB,2017-12-27,176.5500,178.4400,176.2600,177.6200,9296258
FB,2017-12-26,176.6300,177.0000,174.6700,175.9900,8726829
FB,2017-12-22,177.1400,177.5300,176.2300,177.2000,8462491
FB,2017-12-21,177.9400,178.6800,177.0500,177.4500,11050969
FB,2017-12-20,179.8100,179.8100,177.3600,177.8900,11754823
FB,2017-12-19,179.9500,180.0800,178.2200,179.5100,14769239
FB,2017-12-18,181.0100,181.3000,179.7500,180.8200,17014337
FB,2017-12-15,179.0200,180.4934,178.3600,180.1800,26225100
FB,2017-12-14,178.2900,180.3601,177.6800,178.3900,13393757
FB,2017-12-13,177.3000,179.1600,177.2500,178.3000,14406776
FB,2017-12-12,178.6000,179.1800,176.6000,176.9600,16675275
FB,2017-12-11,179.3000,180.2200,178.8000,179.0400,12630207
FB,2017-12-08,181.5300,182.2800,178.7401,179.0000,19377310
FB,2017-12-07,175.8000,180.3900,175.8000,180.1400,19588217
FB,2017-12-06,172.5000,176.7700,171.9000,176.0600,20059293
FB,2017-12-05,170.4500,175.3800,169.0100,172.8300,20028656
FB,2017-12-04,176.2900,176.5700,170.7900,171.4700,24184006
FB,2017-12-01,176.0300,177.4800,172.3400,175.1000,19966643
FB,2017-11-30,176.8500,178.2750,175.2000,177.1800,25127073
FB,2017-11-29,181.8900,181.9700,174.0000,175.1300,41843917
FB,2017-11-28,183.5100,184.2500,182.0900,182.4200,13761926
FB,2017-11-27,182.5600,183.7300,181.9900,183.0300,12249740
FB,2017-11-24,180.4000,183.1500,180.2900,182.7800,9426010
FB,2017-11-22,181.3000,181.7300,180.4400,180.8700,10238140
FB,2017-11-21,179.1500,181.8900,178.9900,181.8600,14409305
FB,2017-11-20,178.8700,179.5000,178.1000,178.7400,10052391
FB,2017-11-17,179.3000,179.9800,178.9000,179.0000,12722802
FB,2017-11-16,178.7600,179.8300,178.5000,179.5900,15230062
FB,2017-11-15,176.6600,178.5700,176.4000,177.9500,10131051
FB,2017-11-14,178.1300,178.9700,177.1800,178.0700,9465112
FB,2017-11-13,177.5000,179.0400,177.3000,178.7700,9431449
FB,2017-11-10,178.3500,179.1000,177.9600,178.4600,10933405
FB,2017-11-09,178.3100,179.4000,177.0900,179.3000,12460345
