name,date,open,high,low,close,volume
GOOG,2018-04-25,1025.5200,1032.4900,1015.3100,1021.1800,2391105
GOOG,2018-04-24,1052.0000,1057.0000,1010.5900,1019.9800,4760260
GOOG,2018-04-23,1077.8600,1082.7200,1060.7000,1067.4500,2341258
GOOG,2018-04-20,1082.0000,1092.3500,1069.5700,1072.9600,1889686
GOOG,2018-04-19,1069.4000,1094.1600,1068.1800,1087.7000,1747671
GOOG,2018-04-18,1077.4300,1077.4300,1066.2200,1072.0800,1344138
GOOG,2018-04-17,1051.3700,1077.8800,1048.2600,1074.1600,2320266
GOOG,2018-04-16,1037.0000,1043.2400,1026.7400,1037.9800,1211208
GOOG,2018-04-13,1040.8800,1046.4200,1022.9800,1029.2700,1223017
GOOG,2018-04-12,1025.0400,1040.6900,1021.4300,1032.5100,1359389
GOOG,2018-04-11,1027.9900,1031.3600,1015.8700,1019.9700,1483881
GOOG,2018-04-10,1026.4400,1036.2800,1011.3400,1031.6400,2029648
GOOG,2018-04-09,1016.8000,1039.6000,1014.0800,1015.4500,1751559
GOOG,2018-04-06,1020.0000,1031.4200,1003.0300,1007.0400,1746430
GOOG,2018-04-05,1041.3300,1042.7900,1020.1300,1027.8100,1363049
GOOG,2018-04-04,993.4100,1028.7200,993.0000,1025.1400,2484651
GOOG,2018-04-03,1013.9100,1020.9900,994.0700,1013.4100,2275076
GOOG,2018-04-02,1022.8200,1034.8000,990.3700,1006.4700,2680400
GOOG,2018-03-29,1011.6300,1043.0000,1002.9000,1031.7900,2726830
GOOG,2018-03-28,998.0000,1024.2300,980.6400,1004.5600,3369275
GOOG,2018-03-27,1063.0000,1064.8400,996.9200,1005.1000,3029471
GOOG,2018-03-26,1046.0000,1055.6300,1008.4000,1053.2100,2558385
GOOG,2018-03-23,1047.0300,1063.3600,1021.2200,1021.5700,2113497
GOOG,2018-03-22,1081.8800,1082.9000,1045.9100,1049.0800,2580374
GOOG,2018-03-21,1092.7400,1106.3000,1085.1500,1090.8800,1640709
GOOG,2018-03-20,1099.0000,1105.2000,1083.4600,1097.7100,1783872
GOOG,2018-03-19,1120.0100,1121.9900,1089.0100,1099.8200,2339506
GOOG,2018-03-16,1154.1400,1155.8800,1131.9600,1135.7300,2560277
GOOG,2018-03-15,1149.9600,1161.0800,1134.5400,1149.5800,1392521
GOOG,2018-03-14,1145.2100,1158.5900,1141.4400,1149.4900,1192615
GOOG,2018-03-13,1170.0000,1176.7600,1133.3300,1138.1700,1808098
GOOG,2018-03-12,1163.8500,1177.0500,1157.4200,1164.5000,2076306
GOOG,2018-03-09,1136.0000,1160.8000,1132.4600,1160.0400,2074952
GOOG,2018-03-08,1115.3200,1127.6000,1112.8000,1126.0000,1240299
GOOG,2018-03-07,1089.1900,1112.2200,1085.4800,1109.6400,1292537
GOOG,2018-03-06,1099.2200,1101.8500,1089.7800,1095.0600,1532783
GOOG,2018-03-05,1075.1400,1097.1000,1069.0000,1090.9300,1202174
GOOG,2018-03-02,1053.0800,1082.0000,1048.1200,1078.9200,2271551
GOOG,2018-03-01,1107.8700,1110.1200,1067.0000,1069.5200,2515910
GOOG,2018-02-28,1123.0300,1127.5300,1103.2400,1104.7300,1858051
GOOG,2018-02-27,1141.2400,1144.0400,1118.0000,1118.2900,1741578
GOOG,2018-02-26,1127.8000,1143.9600,1126.6900,1143.7500,1492380
GOOG,2018-02-23,1112.6400,1127.2800,1104.7100,1126.7900,1158377
GOOG,2018-02-22,1116.1900,1122.8200,1102.5900,1106.6300,1306276
GOOG,2018-02-21,1106.4700,1133.9700,1106.3300,1111.3400,1493162
GOOG,2018-02-20,1090.5700,1113.9500,1088.5200,1102.4600,1381603
GOOG,2018-02-16,1088.4100,1104.6700,1088.3100,1094.8000,1664969
GOOG,2018-02-15,1079.0700,1091.4800,1064.3400,1089.5200,1777694
GOOG,2018-02-14,1048.9500,1071.7200,1046.7500,1069.7000,1515444
GOOG,2018-02-13,1045.0000,1058.3700,1044.0900,1052.1000,1209341
GOOG,2018-02-12,1048.0000,1061.5000,1040.9300,1051.9400,2038875
GOOG,2018-02-09,1017.2500,1043.9700,992.5600,1037.7800,3267883
GOOG,2018-02-08,1055.4100,1058.6200,1000.6600,1001.5200,2720942
GOOG,2018-02-07,1081.5400,1081.7800,1048.2600,1048.5800,2331374
GOOG,2018-02-06,1027.1800,1081.7100,1023.1400,1080.6000,3360727
GOOG,2018-02-05,1090.6000,1110.0000,1052.0300,1055.8000,3336352
GOOG,2018-02-02,1122.0000,1123.0700,1107.2800,1111.9000,4758496
