name,date,open,high,low,close,volume
GS,2018-04-25,242.1900,242.4617,237.5100,239.2300,5039886
GS,2018-04-24,248.8200,249.1500,240.0400,242.4900,4705066
GS,2018-04-23,251.6600,252.7500,246.1900,246.6700,3775874
GS,2018-04-20,254.1000,255.6800,251.4800,251.9600,2930638
GS,2018-04-19,254.0000,256.1600,252.8300,254.1700,3990014
GS,2018-04-18,254.9000,257.0200,252.2500,254.0000,4524761
GS,2018-04-17,261.6000,262.2500,252.3400,253.6300,10134395
GS,2018-04-16,257.1300,260.6600,256.6600,257.8800,3257417
GS,2018-04-13,261.9400,262.4990,254.5400,255.9200,3026173
GS,2018-04-12,256.2700,260.7300,255.1100,259.5900,3059104
GS,2018-04-11,252.5900,254.8300,249.7900,252.9400,3321982
GS,2018-04-10,257.9600,259.8900,255.9500,256.5700,3314641
GS,2018-04-09,251.4800,257.5000,249.1700,252.1900,3256691
GS,2018-04-06,251.4800,255.3400,246.6800,249.9700,3621939
GS,2018-04-05,254.5000,258.0000,253.4000,255.8100,1924810
GS,2018-04-04,245.7100,253.2200,244.5110,252.6200,2853211
GS,2018-04-03,248.6100,250.8900,245.9000,250.5800,2488166
GS,2018-04-02,251.2600,252.6000,243.7700,247.3500,3429894
GS,2018-03-29,250.7900,252.9800,248.3300,251.8600,3073925
GS,2018-03-28,248.7800,251.2300,244.3700,249.3700,2660194
GS,2018-03-27,255.8900,257.0600,245.6100,247.2600,2970625
GS,2018-03-26,250.6500,255.3600,248.4500,254.8800,3733912
GS,2018-03-23,253.6300,254.9540,244.9300,245.2600,3603803
GS,2018-03-22,258.4200,260.8200,252.1800,252.6000,4175915
GS,2018-03-21,263.0100,266.4900,260.3100,261.8500,2811962
GS,2018-03-20,263.2900,264.6400,261.8873,263.1900,1463860
GS,2018-03-19,266.9900,267.5000,259.4700,262.5300,2418918
GS,2018-03-16,266.0100,269.8500,265.3300,267.6000,3955445
GS,2018-03-15,265.7200,269.0000,265.3500,266.6100,2246194
GS,2018-03-14,270.4000,270.7800,263.9110,264.4300,2426042
GS,2018-03-13,274.3400,275.0300,267.4400,268.5300,2258955
GS,2018-03-12,271.0000,275.3100,270.7700,273.3800,3056321
GS,2018-03-09,268.7000,271.0900,267.0400,270.7700,4389640
GS,2018-03-08,266.4800,268.1000,262.6300,266.3400,2471696
GS,2018-03-07,262.6900,266.4300,260.9455,265.3500,2509352
GS,2018-03-06,264.7700,267.8700,263.2100,266.9300,2217341
GS,2018-03-05,256.4600,264.5500,256.2400,263.1200,2445846
GS,2018-03-02,255.0000,259.2400,252.1000,258.1200,3122826
