name,date,open,high,low,close,volume
NVDA,2018-04-25,220.0000,221.5750,210.3000,216.6600,14712343
NVDA,2018-04-24,224.9200,228.8000,218.5600,221.2000,10364894
NVDA,2018-04-23,229.4300,231.5000,222.8300,223.8800,10687723
NVDA,2018-04-20,228.6900,232.1000,227.4500,228.7100,9654966
NVDA,2018-04-19,231.7452,233.1000,226.8000,229.0400,11799933
NVDA,2018-04-18,235.5000,239.2500,232.7700,236.3700,9784058
NVDA,2018-04-17,233.6000,238.4000,231.3500,237.5400,11180638
NVDA,2018-04-16,231.7720,232.8400,227.6800,231.4900,8769776
NVDA,2018-04-13,237.1700,237.5100,229.5500,231.5000,12575892
NVDA,2018-04-12,230.0000,235.3200,228.2149,234.6000,14847950
NVDA,2018-04-11,227.3100,228.9760,224.9210,226.2400,11506057
NVDA,2018-04-10,224.7200,229.0000,222.4100,227.9100,19118807
NVDA,2018-04-09,216.8000,221.9700,214.6000,215.4100,12488120
NVDA,2018-04-06,217.2300,221.6000,213.0735,214.2500,16574720
NVDA,2018-04-05,228.6000,229.1300,218.4900,221.3800,17530973
NVDA,2018-04-04,215.0100,226.6606,214.0000,226.2400,19729161
NVDA,2018-04-03,227.8000,230.3500,221.3500,225.3500,16685759
NVDA,2018-04-02,228.7400,234.6500,217.5000,221.0500,23052315
NVDA,2018-03-29,224.1050,235.5000,220.7002,231.5900,22915692
NVDA,2018-03-28,224.1300,229.3900,217.0000,221.3500,23647648
NVDA,2018-03-27,247.7500,250.0000,219.8450,225.5200,34462113
NVDA,2018-03-26,238.0000,244.5300,235.9000,244.4800,15130542
NVDA,2018-03-23,242.4000,242.6700,232.5200,232.9700,18225390
NVDA,2018-03-22,246.0000,247.8800,240.3410,241.8500,13663927
NVDA,2018-03-21,249.3200,252.0000,247.3300,248.5600,10841782
NVDA,2018-03-20,241.1200,251.1500,241.1200,249.5800,13725505
NVDA,2018-03-19,248.1800,249.3500,237.0000,241.0000,17472128
NVDA,2018-03-16,250.0000,251.2500,248.4800,250.4800,9634107
NVDA,2018-03-15,249.2900,252.6200,247.6400,249.3400,9992834
NVDA,2018-03-14,249.4500,250.5500,246.2200,248.7400,12573947
NVDA,2018-03-13,251.4900,254.5000,246.0400,247.7100,15408000
NVDA,2018-03-12,247.0000,253.0000,246.6723,249.7600,15056073
NVDA,2018-03-09,243.1000,245.8500,242.4501,245.3300,12580234
NVDA,2018-03-08,242.9500,242.9500,239.3907,241.1800,10163665
NVDA,2018-03-07,238.0000,243.9500,237.9500,241.8400,14530226
NVDA,2018-03-06,239.1000,242.9400,237.3600,242.1600,15920243
NVDA,2018-03-05,234.5100,237.2500,229.5210,235.6500,15519413
NVDA,2018-03-02,227.8600,236.8000,221.8500,236.5400,22835685
NVDA,2018-03-01,241.9100,244.0900,228.1248,232.2100,26002972
NVDA,2018-02-28,246.5000,248.1000,241.5300,242.0000,12950470
NVDA,2018-02-27,245.5000,248.9100,245.1300,246.0600,11323269
NVDA,2018-02-26,247.8000,247.9800,244.0600,246.5800,11145830
NVDA,2018-02-23,244.5700,245.9300,242.5201,245.9300,10258215
NVDA,2018-02-22,242.7300,245.6300,239.5000,242.1500,12998992
NVDA,2018-02-21,251.6900,251.9675,241.3600,241.5100,21021844
NVDA,2018-02-20,244.7500,251.8700,244.6000,249.0800,17075723
NVDA,2018-02-16,245.4000,250.0000,243.4700,243.8400,15812549
NVDA,2018-02-15,244.7850,248.3700,241.5200,246.5000,17392024
