name,date,open,high,low,close,volume
PETX,2018-04-25,5.2000,5.2400,5.0300,5.0800,382651
PETX,2018-04-24,5.1300,5.2400,5.0800,5.1900,481174
PETX,2018-04-23,5.0800,5.1700,5.0200,5.0600,305040
PETX,2018-04-20,4.9500,5.1200,4.8600,5.0800,345502
PETX,2018-04-19,5.1700,5.1900,4.9200,4.9700,413442
PETX,2018-04-18,5.1900,5.2900,5.1200,5.2100,249639
PETX,2018-04-17,5.1400,5.2700,5.0600,5.1800,298263
PETX,2018-04-16,5.1000,5.2000,5.0000,5.1400,267676
PETX,2018-04-13,5.1300,5.1400,4.9100,5.0500,199718
PETX,2018-04-12,4.9800,5.2300,4.8900,5.1300,286747
PETX,2018-04-11,4.9400,5.0300,4.9100,4.9800,218633
PETX,2018-04-10,4.9800,5.2400,4.9300,4.9500,269560
PETX,2018-04-09,4.9700,5.0000,4.8600,4.9500,293004
PETX,2018-04-06,5.0500,5.1200,4.8600,4.9300,581329
PETX,2018-04-05,4.9900,5.3965,4.9800,5.0900,1247235
PETX,2018-04-04,4.6000,5.0500,4.5800,4.9500,1513809
PETX,2018-04-03,4.4700,4.7300,4.4600,4.6400,511593
PETX,2018-04-02,4.4100,4.5900,4.2600,4.4500,565097
PETX,2018-03-29,4.4400,4.7000,4.3700,4.4100,793246
PETX,2018-03-28,4.3800,4.6700,4.3101,4.4200,899536
PETX,2018-03-27,4.1900,4.4499,4.0400,4.3500,1863165
PETX,2018-03-26,4.0100,4.1900,3.8300,3.8700,813535
PETX,2018-03-23,4.1000,4.1600,3.9100,3.9500,598770
PETX,2018-03-22,4.1600,4.2800,4.0600,4.0800,533926
PETX,2018-03-21,3.9700,4.2500,3.9100,4.1900,1748482
PETX,2018-03-20,3.9600,4.0400,3.9200,3.9600,222985
PETX,2018-03-19,4.0200,4.1200,3.8900,3.9700,327972
PETX,2018-03-16,4.0100,4.1500,3.9500,4.0400,788383
PETX,2018-03-15,3.8400,4.0400,3.6700,4.0300,788286
PETX,2018-03-14,4.5400,4.5400,3.7800,3.8000,1458747
PETX,2018-03-13,4.4500,4.4700,4.3450,4.4300,277313
PETX,2018-03-12,4.5700,4.5900,4.3200,4.4200,501748
PETX,2018-03-09,4.2500,4.2700,4.1700,4.2600,140237
PETX,2018-03-08,4.2500,4.2890,4.1900,4.2200,178917
PETX,2018-03-07,4.1700,4.2400,4.1100,4.2300,244602
PETX,2018-03-06,4.1400,4.2200,4.0500,4.1700,173367
PETX,2018-03-05,4.0500,4.1800,4.0200,4.1500,171739
PETX,2018-03-02,3.9000,4.1200,3.8500,4.0700,352432
PETX,2018-03-01,3.8000,3.9600,3.7200,3.9000,405320
PETX,2018-02-28,3.9800,3.9800,3.7150,3.7200,301993
PETX,2018-02-27,4.0900,4.1200,3.9400,3.9500,181931
PETX,2018-02-26,4.1100,4.1600,4.0000,4.0800,170822
PETX,2018-02-23,4.0700,4.1300,3.9345,4.0900,256778
PETX,2018-02-22,4.1200,4.1400,4.0000,4.0400,269766
PETX,2018-02-21,4.1400,4.2000,4.0800,4.0900,161698
PETX,2018-02-20,4.1800,4.2400,4.1000,4.1200,123347
PETX,2018-02-16,4.3100,4.5913,4.1600,4.1800,213948
PETX,2018-02-15,4.3000,4.3600,4.2000,4.3200,241029
PETX,2018-02-14,4.1800,4.2700,4.1200,4.2600,313219
PETX,2018-02-13,4.1200,4.2200,4.0100,4.1800,272226
PETX,2018-02-12,4.1400,4.2500,4.0600,4.1100,326362
PETX,2018-02-09,4.4300,4.4300,3.9100,4.1000,531810
PETX,2018-02-08,4.4100,4.4600,4.3000,4.3700,286911
PETX,2018-02-07,4.3900,4.4600,4.2000,4.3900,267907
PETX,2018-02-06,4.3100,4.4300,4.2000,4.3800,354618
PETX,2018-02-05,4.6200,4.6500,4.3300,4.3600,293780
PETX,2018-02-02,4.6900,4.7400,4.5784,4.6100,229958
PETX,2018-02-01,4.6000,4.7400,4.5301,4.6700,201071
PETX,2018-01-31,4.8700,4.8792,4.6300,4.6300,265348
PETX,2018-01-30,4.8700,4.8700,4.6900,4.8400,179932
